Letter,Finger1,Finger2,Finger3,Finger4,Finger5,G1,G12,G2,G22,G3,G32
A,1017,1008,1011,1006,976,12,12,-2,-2,68,68
A,1016,1011,1014,1011,979,14,14,-1,-1,80,80
A,1019,1011,1012,1011,1015,14,14,-1,-1,78,78
A,1011,1009,1010,1010,999,12,12,2,2,72,72
A,1016,1010,1011,1010,1014,14,14,0,0,83,83
A,1019,1012,1013,1011,1015,12,12,-3,-3,71,71
A,1017,1013,1014,1011,1015,11,11,3,3,67,67
A,1018,1012,1014,1011,1014,14,14,-1,-1,80,80
A,1015,1010,1011,1006,1013,12,12,-3,-3,71,71
A,1017,1004,1007,1005,1011,14,14,-2,-2,78,78
A,1014,1006,1010,1005,1011,14,14,-1,-1,82,82
A,1015,1010,1014,1013,1013,13,13,0,0,77,77
A,1012,1006,1012,1013,1011,14,14,-1,-1,81,81
A,1018,1007,1012,1014,1015,14,14,0,0,83,83
B,1019,1019,1018,1018,1020,11,11,-3,-3,66,66
B,1020,1016,1018,1017,1019,13,13,-2,-2,78,78
B,1019,1019,1019,1018,1020,13,13,-2,-2,74,74
B,1020,1019,1020,1018,1020,11,11,-3,-3,61,61
B,1021,1019,1019,1019,1021,12,12,-3,-3,68,68
B,1018,1018,1019,1019,1020,12,12,-3,-3,67,67
B,1015,1017,1019,1017,1019,12,12,-3,-3,69,69
B,1015,1019,1020,1019,1020,12,-2,12,12,72,72
B,1016,1018,1019,1017,1019,13,13,-2,-2,73,73
B,1015,1019,1019,1019,1019,13,13,-2,-2,73,73
B,1016,1017,1017,1019,1020,13,13,-2,-2,74,74
B,937,1019,1021,1021,1020,14,14,0,0,82,82
B,1014,1021,1021,1020,1021,14,14,-1,-1,82,82
B,1019,1020,1020,1020,1019,15,15,0,0,85,85
C,1016,1016,1015,1015,1016,-1,-1,-11,-11,-2,-2
C,1018,1015,1013,1015,1017,-1,-1,-10,-10,-1,-1
C,1016,1017,1015,1014,1017,0,0,-9,-9,0,0
C,1016,1016,1015,1015,1016,0,0,-9,-9,0,0
C,1012,1012,1013,1015,209,-1,-1,-13,-13,-4,-4
C,1014,1015,1015,1017,176,-2,-2,-12,-12,-6,-6
C,1016,1015,1016,1016,1017,0,0,-12,-12,2,2
C,1015,1016,1017,1016,1018,-2,-2,-2,-2,-5,-5
C,1013,1016,1016,1015,1017,0,0,-12,-12,1,1
C,1018,1016,1015,1017,1019,0,0,-11,-11,7,7
C,1020,1020,1020,1019,1019,-1,-1,-11,-11,-2,-2
C,1019,1021,1017,1019,1020,-1,-1,-12,-12,-4,-4
C,1018,1020,1018,1018,1019,0,0,-14,-14,0,0
C,1020,1021,1019,1019,1018,-1,-1,-11,-11,-4,-4
C,1018,1020,1019,1017,1018,-1,-1,-11,-11,-4,-4
D,1012,1020,1014,1015,1015,4,4,-11,-11,-4,-4
D,1012,1020,1014,1013,1015,3,3,-11,-11,-4,-4
D,1013,1021,1015,1014,1015,5,5,-11,-11,-1,-1
D,1013,1020,1014,1012,1014,4,4,-11,-11,-6,-6
D,1015,1021,1012,1013,1016,3,3,-12,-12,-4,-4
D,1012,1019,1016,1014,1016,3,3,-12,-12,-4,-4
D,1015,1021,1016,1016,1017,4,4,-10,-10,27,27
